group,index,label,prediction,baseline_prediction,attr_sum,diff,completeness_error
low,0,0.0,0.8191609382629395,134.96713256835938,-137.12741088867188,-134.14797163009644,-2.9794392585754395
low,1,0.0,1.0101993083953857,134.96713256835938,-132.09793090820312,-133.956933259964,1.8590023517608643
low,2,0.07000000029802322,0.7172465324401855,134.96713256835938,-131.5223846435547,-134.2498860359192,2.727501392364502
low,3,0.11999999731779099,0.9601099491119385,134.96713256835938,-131.2842559814453,-134.00702261924744,2.722766637802124
low,4,0.2199999988079071,0.724353551864624,134.96713256835938,-131.2859649658203,-134.24277901649475,2.9568140506744385
low,5,0.30000001192092896,0.8415188789367676,134.96713256835938,-132.882080078125,-134.1256136894226,1.2435336112976074
low,6,0.3400000035762787,1.026038646697998,134.96713256835938,-132.05673217773438,-133.94109392166138,1.884361743927002
medium,0,156.8300018310547,163.26039123535156,134.96713256835938,23.74169158935547,28.293258666992188,-4.551567077636719
medium,1,156.86000061035156,162.80563354492188,134.96713256835938,28.152156829833984,27.8385009765625,0.3136558532714844
medium,2,156.89999389648438,150.92845153808594,134.96713256835938,12.942630767822266,15.961318969726562,-3.018688201904297
medium,3,156.99000549316406,157.34889221191406,134.96713256835938,22.363868713378906,22.381759643554688,-0.01789093017578125
medium,4,157.0399932861328,148.03228759765625,134.96713256835938,11.664185523986816,13.065155029296875,-1.4009695053100586
medium,5,157.25999450683594,159.63229370117188,134.96713256835938,23.533470153808594,24.6651611328125,-1.1316909790039062
medium,6,157.33999633789062,152.3664093017578,134.96713256835938,16.492244720458984,17.399276733398438,-0.9070320129394531
high,0,1082.6199951171875,1095.864990234375,134.96713256835938,961.3724975585938,960.8978576660156,0.474639892578125
high,1,1085.4000244140625,1095.097900390625,134.96713256835938,963.1572265625,960.1307678222656,3.026458740234375
high,2,1103.5999755859375,1107.8634033203125,134.96713256835938,978.5804443359375,972.8962707519531,5.684173583984375
high,3,1141.780029296875,1084.6876220703125,134.96713256835938,954.33056640625,949.7204895019531,4.610076904296875
high,4,1144.1500244140625,1141.9002685546875,134.96713256835938,1010.9632568359375,1006.9331359863281,4.030120849609375
high,5,1188.1700439453125,1160.3505859375,134.96713256835938,1030.6405029296875,1025.3834533691406,5.257049560546875
high,6,1210.8900146484375,1184.4954833984375,134.96713256835938,1055.12841796875,1049.5283508300781,5.600067138671875
best,0,964.8200073242188,964.8179931640625,134.96713256835938,828.696533203125,829.8508605957031,-1.154327392578125
best,1,79.87999725341797,79.88246154785156,134.96713256835938,-55.85371398925781,-55.08467102050781,-0.76904296875
best,2,9.470000267028809,9.462182998657227,134.96713256835938,-129.65647888183594,-125.50494956970215,-4.151529312133789
best,3,37.22999954223633,37.22003936767578,134.96713256835938,-94.70014953613281,-97.7470932006836,3.0469436645507812
best,4,463.2900085449219,463.2962646484375,134.96713256835938,328.94635009765625,328.3291320800781,0.617218017578125
best,5,12.0600004196167,12.050267219543457,134.96713256835938,-126.86869049072266,-122.91686534881592,-3.9518251419067383
best,6,430.29998779296875,430.3007507324219,134.96713256835938,299.0650939941406,295.3336181640625,3.731475830078125
worst,0,680.8800048828125,836.0514526367188,134.96713256835938,704.6893310546875,701.0843200683594,3.605010986328125
worst,1,825.5999755859375,699.7301025390625,134.96713256835938,567.58056640625,564.7629699707031,2.817596435546875
worst,2,213.57000732421875,304.94189453125,134.96713256835938,168.61997985839844,169.97476196289062,-1.3547821044921875
worst,3,362.2300109863281,271.78472900390625,134.96713256835938,136.49859619140625,136.81759643554688,-0.319000244140625
worst,4,974.5999755859375,1062.1575927734375,134.96713256835938,935.8502807617188,927.1904602050781,8.659820556640625
worst,5,423.4100036621094,338.54278564453125,134.96713256835938,202.51290893554688,203.57565307617188,-1.062744140625
worst,6,667.7000122070312,582.9176025390625,134.96713256835938,453.6665344238281,447.9504699707031,5.716064453125
random,0,77.52999877929688,78.88699340820312,134.96713256835938,-56.795806884765625,-56.08013916015625,-0.715667724609375
random,1,389.1600036621094,390.92608642578125,134.96713256835938,259.50665283203125,255.95895385742188,3.547698974609375
random,2,98.58999633789062,97.80730438232422,134.96713256835938,-37.06950378417969,-37.159828186035156,0.09032440185546875
random,3,350.8999938964844,374.81109619140625,134.96713256835938,240.0057830810547,239.84396362304688,0.1618194580078125
random,4,72.58999633789062,75.96076965332031,134.96713256835938,-60.0488395690918,-59.00636291503906,-1.0424766540527344
random,5,590.7000122070312,589.679443359375,134.96713256835938,454.58837890625,454.7123107910156,-0.123931884765625
random,6,172.75,182.40847778320312,134.96713256835938,49.098148345947266,47.44134521484375,1.6568031311035156
