sample_index,label_wm2,prediction_wm2,abs_error_wm2
0,19.18000030517578,15.429689407348633,3.7503108978271484
1,55.84000015258789,53.045406341552734,2.7945938110351562
2,299.8500061035156,293.6566162109375,6.193389892578125
3,348.07000732421875,352.828857421875,4.75885009765625
4,336.3800048828125,312.302978515625,24.0770263671875
5,297.489990234375,294.0573425292969,3.432647705078125
6,283.6700134277344,279.73077392578125,3.939239501953125
7,347.760009765625,345.05975341796875,2.70025634765625
8,294.7799987792969,285.4156494140625,9.364349365234375
9,14.680000305175781,12.54658317565918,2.1334171295166016
10,347.4200134277344,340.19256591796875,7.227447509765625
11,56.04999923706055,52.79712677001953,3.2528724670410156
12,345.57000732421875,352.48297119140625,6.9129638671875
13,48.290000915527344,45.14277267456055,3.147228240966797
14,38.95000076293945,32.27882766723633,6.671173095703125
15,134.47999572753906,129.7086944580078,4.77130126953125
16,87.37000274658203,80.9311294555664,6.438873291015625
17,124.58999633789062,119.5787124633789,5.011283874511719
18,71.5999984741211,68.2469482421875,3.3530502319335938
19,97.0,96.34823608398438,0.651763916015625
20,2.5299999713897705,2.61264967918396,0.08264970779418945
21,7.039999961853027,4.740011692047119,2.299988269805908
22,142.8800048828125,125.1634750366211,17.716529846191406
23,11.899999618530273,10.536205291748047,1.3637943267822266
24,117.25,123.53942108154297,6.289421081542969
25,108.54000091552734,105.45780181884766,3.0821990966796875
26,15.039999961853027,16.85272979736328,1.812729835510254
27,15.180000305175781,16.65877342224121,1.4787731170654297
28,25.68000030517578,26.752765655517578,1.0727653503417969
29,49.209999084472656,54.2564811706543,5.046482086181641
30,70.5199966430664,68.56502532958984,1.9549713134765625
31,1.0499999523162842,1.9835036993026733,0.9335037469863892
32,89.30999755859375,87.61965942382812,1.690338134765625
33,14.420000076293945,15.673568725585938,1.2535686492919922
34,25.399999618530273,28.75082015991211,3.350820541381836
35,14.609999656677246,15.093754768371582,0.48375511169433594
36,21.1299991607666,20.512346267700195,0.6176528930664062
37,29.190000534057617,29.482011795043945,0.2920112609863281
38,25.209999084472656,25.531742095947266,0.3217430114746094
39,21.540000915527344,22.301645278930664,0.7616443634033203
40,5.5,3.909473419189453,1.5905265808105469
41,35.58000183105469,35.6716194152832,0.09161758422851562
42,6.010000228881836,5.334469795227051,0.6755304336547852
43,33.939998626708984,36.322303771972656,2.382305145263672
44,20.829999923706055,21.07976722717285,0.24976730346679688
45,7.119999885559082,6.475463390350342,0.6445364952087402
46,17.530000686645508,20.11110496520996,2.581104278564453
47,2.640000104904175,2.583869457244873,0.05613064765930176
