group,index,label,prediction,baseline_prediction,attr_sum,diff,completeness_error
low,0,0.0,2.05232310295105,132.9145965576172,-131.48965454101562,-130.86227345466614,-0.6273810863494873
low,1,0.0,2.055525302886963,132.9145965576172,-131.2985382080078,-130.85907125473022,-0.4394669532775879
low,2,0.07000000029802322,1.9543737173080444,132.9145965576172,-131.2733917236328,-130.96022284030914,-0.31316888332366943
low,3,0.11999999731779099,1.9543520212173462,132.9145965576172,-130.85487365722656,-130.96024453639984,0.10537087917327881
low,4,0.2199999988079071,1.9318398237228394,132.9145965576172,-131.60348510742188,-130.98275673389435,-0.6207283735275269
low,5,0.30000001192092896,1.9543174505233765,132.9145965576172,-131.35594177246094,-130.9602791070938,-0.39566266536712646
low,6,0.3400000035762787,1.9586542844772339,132.9145965576172,-130.96998596191406,-130.95594227313995,-0.014043688774108887
medium,0,156.8300018310547,159.0303955078125,132.9145965576172,25.863203048706055,26.115798950195312,-0.2525959014892578
medium,1,156.86000061035156,159.0728759765625,132.9145965576172,25.662384033203125,26.158279418945312,-0.4958953857421875
medium,2,156.89999389648438,150.3199920654297,132.9145965576172,17.398834228515625,17.4053955078125,-0.006561279296875
medium,3,156.99000549316406,148.2564239501953,132.9145965576172,15.320701599121094,15.341827392578125,-0.02112579345703125
medium,4,157.0399932861328,149.79403686523438,132.9145965576172,16.589059829711914,16.879440307617188,-0.29038047790527344
medium,5,157.25999450683594,158.28836059570312,132.9145965576172,25.533859252929688,25.373764038085938,0.16009521484375
medium,6,157.33999633789062,150.7315216064453,132.9145965576172,18.005857467651367,17.816925048828125,0.1889324188232422
high,0,1082.6199951171875,1087.3114013671875,132.9145965576172,953.14013671875,954.3968048095703,-1.2566680908203125
high,1,1085.4000244140625,1082.1767578125,132.9145965576172,948.868896484375,949.2621612548828,-0.3932647705078125
high,2,1103.5999755859375,1133.638671875,132.9145965576172,999.8859252929688,1000.7240753173828,-0.8381500244140625
high,3,1141.780029296875,1120.159912109375,132.9145965576172,986.4495849609375,987.2453155517578,-0.7957305908203125
high,4,1144.1500244140625,1116.009765625,132.9145965576172,982.3714599609375,983.0951690673828,-0.7237091064453125
high,5,1188.1700439453125,1136.995361328125,132.9145965576172,1002.7362060546875,1004.0807647705078,-1.3445587158203125
high,6,1210.8900146484375,1224.302001953125,132.9145965576172,1089.2596435546875,1091.3874053955078,-2.1277618408203125
best,0,5.739999771118164,5.739290714263916,132.9145965576172,-127.19631958007812,-127.17530584335327,-0.021013736724853516
best,1,33.619998931884766,33.61811828613281,132.9145965576172,-99.59830474853516,-99.29647827148438,-0.30182647705078125
best,2,591.3699951171875,591.3740844726562,132.9145965576172,457.71563720703125,458.45948791503906,-0.7438507080078125
best,3,14.350000381469727,14.34512996673584,132.9145965576172,-118.41392517089844,-118.56946659088135,0.15554141998291016
best,4,9.109999656677246,9.11563491821289,132.9145965576172,-124.0531005859375,-123.7989616394043,-0.2541389465332031
best,5,414.2300109863281,414.2405090332031,132.9145965576172,280.86334228515625,281.32591247558594,-0.4625701904296875
best,6,44.529998779296875,44.53854751586914,132.9145965576172,-88.193359375,-88.37604904174805,0.18268966674804688
worst,0,680.8800048828125,840.7178344726562,132.9145965576172,706.1644897460938,707.8032379150391,-1.6387481689453125
worst,1,825.5999755859375,668.5387573242188,132.9145965576172,534.8602905273438,535.6241607666016,-0.7638702392578125
worst,2,974.5999755859375,1081.1708984375,132.9145965576172,946.67578125,948.2563018798828,-1.5805206298828125
worst,3,597.3499755859375,510.072021484375,132.9145965576172,377.1259460449219,377.1574249267578,-0.0314788818359375
worst,4,617.8300170898438,702.6477661132812,132.9145965576172,567.672119140625,569.7331695556641,-2.0610504150390625
worst,5,852.72998046875,767.9505615234375,132.9145965576172,634.9945678710938,635.0359649658203,-0.0413970947265625
worst,6,667.7000122070312,584.906982421875,132.9145965576172,450.7330017089844,451.9923858642578,-1.2593841552734375
random,0,77.52999877929688,75.1156234741211,132.9145965576172,-58.03831481933594,-57.798973083496094,-0.23934173583984375
random,1,389.1600036621094,397.2484130859375,132.9145965576172,264.9973449707031,264.3338165283203,0.6635284423828125
random,2,98.58999633789062,94.39252471923828,132.9145965576172,-38.307861328125,-38.522071838378906,0.21421051025390625
random,3,350.8999938964844,368.71807861328125,132.9145965576172,236.08583068847656,235.80348205566406,0.2823486328125
random,4,72.58999633789062,71.9907455444336,132.9145965576172,-61.06560134887695,-60.923851013183594,-0.14175033569335938
random,5,590.7000122070312,589.9515380859375,132.9145965576172,456.5970764160156,457.0369415283203,-0.4398651123046875
random,6,172.75,179.75576782226562,132.9145965576172,46.64527893066406,46.84117126464844,-0.195892333984375
