2026-03-09T09:53:16Z | INFO     |        __main__ | Loading test data...
2026-03-09T09:53:16Z | INFO     |        __main__ | Loading model from /home/xtsimbota_135764/masters/models/rubsheet_2to1_model_2026-03-06_16-40.pth
2026-03-09T09:53:17Z | INFO     |        __main__ | Running inference on test set...
2026-03-09T09:53:53Z | INFO     |        __main__ | Best error range : 0.00 – 0.01
2026-03-09T09:53:53Z | INFO     |        __main__ | Worst error range: 153.75 – 79.98
2026-03-09T09:53:56Z | INFO     |        __main__ | Generating Grad-CAM grid: Top 10 Best Predictions (10 images)...
2026-03-09T09:54:06Z | INFO     |        __main__ | Saved → /home/xtsimbota_135764/masters/analysis/rubsheet_2to1/gradcam/best_10_gradcam.png
2026-03-09T09:54:06Z | INFO     |        __main__ | Generating Grad-CAM grid: Top 10 Worst Predictions (10 images)...
2026-03-09T09:54:17Z | INFO     |        __main__ | Saved → /home/xtsimbota_135764/masters/analysis/rubsheet_2to1/gradcam/worst_10_gradcam.png
2026-03-09T09:54:17Z | INFO     |        __main__ | Grad-CAM visualisation complete.
