group,index,label,prediction,baseline_prediction,attr_sum,diff,completeness_error
low,0,0.0,2.5286865234375,123.9046859741211,-138.946533203125,-121.3759994506836,-17.570533752441406
low,1,0.0,1.423932671546936,123.9046859741211,-143.96514892578125,-122.48075330257416,-21.484395623207092
low,2,0.07000000029802322,1.3132141828536987,123.9046859741211,-143.68394470214844,-122.5914717912674,-21.092472910881042
low,3,0.11999999731779099,1.349277138710022,123.9046859741211,-142.2464141845703,-122.55540883541107,-19.69100534915924
low,4,0.2199999988079071,1.4328910112380981,123.9046859741211,-143.68179321289062,-122.471794962883,-21.20999825000763
low,5,0.30000001192092896,1.5190150737762451,123.9046859741211,-143.224365234375,-122.38567090034485,-20.83869433403015
low,6,0.3400000035762787,1.4214290380477905,123.9046859741211,-143.97760009765625,-122.4832569360733,-21.494343161582947
medium,0,156.8300018310547,161.25527954101562,123.9046859741211,38.09747314453125,37.35059356689453,0.7468795776367188
medium,1,156.86000061035156,165.99432373046875,123.9046859741211,43.54356002807617,42.089637756347656,1.4539222717285156
medium,2,156.89999389648438,146.54867553710938,123.9046859741211,20.950551986694336,22.64398956298828,-1.6934375762939453
medium,3,156.99000549316406,154.6220703125,123.9046859741211,31.278146743774414,30.717384338378906,0.5607624053955078
medium,4,157.0399932861328,147.2022705078125,123.9046859741211,23.42668914794922,23.297584533691406,0.1291046142578125
medium,5,157.25999450683594,155.29495239257812,123.9046859741211,31.531991958618164,31.39026641845703,0.1417255401611328
medium,6,157.33999633789062,151.36566162109375,123.9046859741211,26.808332443237305,27.460975646972656,-0.6526432037353516
high,0,1082.6199951171875,1118.6795654296875,123.9046859741211,998.8031005859375,994.7748794555664,4.028221130371094
high,1,1085.4000244140625,1126.7877197265625,123.9046859741211,1004.8569946289062,1002.8830337524414,1.9739608764648438
high,2,1103.5999755859375,1112.071533203125,123.9046859741211,990.2382202148438,988.1668472290039,2.0713729858398438
high,3,1141.780029296875,1090.8607177734375,123.9046859741211,968.3931274414062,966.9560317993164,1.4370956420898438
high,4,1144.1500244140625,1162.6795654296875,123.9046859741211,1040.488037109375,1038.7748794555664,1.7131576538085938
high,5,1188.1700439453125,1147.337158203125,123.9046859741211,1029.9248046875,1023.4324722290039,6.492332458496094
high,6,1210.8900146484375,1211.5648193359375,123.9046859741211,1091.513671875,1087.6601333618164,3.8535385131835938
best,0,114.37000274658203,114.37366485595703,123.9046859741211,-10.253645896911621,-9.531021118164062,-0.7226247787475586
best,1,9.4399995803833,9.439827919006348,123.9046859741211,-103.52705383300781,-114.46485805511475,10.937804222106934
best,2,14.84000015258789,14.836894035339355,123.9046859741211,-106.83500671386719,-109.06779193878174,2.232785224914551
best,3,72.58999633789062,72.59294891357422,123.9046859741211,-50.747005462646484,-51.311737060546875,0.5647315979003906
best,4,784.030029296875,784.0338134765625,123.9046859741211,661.3963623046875,660.1291275024414,1.2672348022460938
best,5,23.56999969482422,23.558570861816406,123.9046859741211,-98.16621398925781,-100.34611511230469,2.179901123046875
best,6,347.0199890136719,347.01544189453125,123.9046859741211,222.3013458251953,223.11075592041016,-0.8094100952148438
worst,0,680.8800048828125,829.5519409179688,123.9046859741211,707.1689453125,705.6472549438477,1.5216903686523438
worst,1,597.3499755859375,480.3330993652344,123.9046859741211,357.93157958984375,356.4284133911133,1.5031661987304688
worst,2,362.2300109863281,263.1343994140625,123.9046859741211,138.8842315673828,139.2297134399414,-0.34548187255859375
worst,3,974.5999755859375,1049.87744140625,123.9046859741211,932.2815551757812,925.9727554321289,6.308799743652344
worst,4,852.72998046875,781.217041015625,123.9046859741211,659.7013549804688,657.3123550415039,2.3889999389648438
worst,5,412.79998779296875,481.9122009277344,123.9046859741211,361.22442626953125,358.0075149536133,3.2169113159179688
worst,6,504.29998779296875,435.48345947265625,123.9046859741211,314.17999267578125,311.57877349853516,2.6012191772460938
random,0,77.52999877929688,79.22160339355469,123.9046859741211,-45.395423889160156,-44.683082580566406,-0.71234130859375
random,1,389.1600036621094,374.2445068359375,123.9046859741211,251.79405212402344,250.3398208618164,1.4542312622070312
random,2,98.58999633789062,94.74369812011719,123.9046859741211,-30.397029876708984,-29.160987854003906,-1.2360420227050781
random,3,350.8999938964844,359.0133056640625,123.9046859741211,236.10768127441406,235.1086196899414,0.9990615844726562
random,4,72.58999633789062,72.59294891357422,123.9046859741211,-50.747005462646484,-51.311737060546875,0.5647315979003906
random,5,590.7000122070312,585.1351318359375,123.9046859741211,462.2147216796875,461.2304458618164,0.9842758178710938
random,6,172.75,181.5818328857422,123.9046859741211,57.92424774169922,57.677146911621094,0.247100830078125
