group,index,label,prediction,baseline_prediction,attr_sum,diff,completeness_error
low,0,0.0,0.8191609382629395,134.96713256835938,-127.64530944824219,-134.14797163009644,6.502662181854248
low,1,0.0,1.0101993083953857,134.96713256835938,-134.8907470703125,-133.956933259964,-0.9338138103485107
low,2,0.07000000029802322,0.7172465324401855,134.96713256835938,-134.6473388671875,-134.2498860359192,-0.39745283126831055
low,3,0.11999999731779099,0.9601099491119385,134.96713256835938,-135.11668395996094,-134.00702261924744,-1.109661340713501
low,4,0.2199999988079071,0.724353551864624,134.96713256835938,-135.25222778320312,-134.24277901649475,-1.009448766708374
low,5,0.30000001192092896,0.8415188789367676,134.96713256835938,-133.55499267578125,-134.1256136894226,0.5706210136413574
low,6,0.3400000035762787,1.026038646697998,134.96713256835938,-135.52183532714844,-133.94109392166138,-1.5807414054870605
medium,0,156.8300018310547,163.26039123535156,134.96713256835938,25.677995681762695,28.293258666992188,-2.615262985229492
medium,1,156.86000061035156,162.80563354492188,134.96713256835938,27.908233642578125,27.8385009765625,0.069732666015625
medium,2,156.89999389648438,150.92845153808594,134.96713256835938,14.47509765625,15.961318969726562,-1.4862213134765625
medium,3,156.99000549316406,157.34889221191406,134.96713256835938,19.43456268310547,22.381759643554688,-2.9471969604492188
medium,4,157.0399932861328,148.03228759765625,134.96713256835938,13.689911842346191,13.065155029296875,0.6247568130493164
medium,5,157.25999450683594,159.63229370117188,134.96713256835938,23.455934524536133,24.6651611328125,-1.2092266082763672
medium,6,157.33999633789062,152.3664093017578,134.96713256835938,15.870655059814453,17.399276733398438,-1.5286216735839844
high,0,1082.6199951171875,1095.864990234375,134.96713256835938,953.8215942382812,960.8978576660156,-7.076263427734375
high,1,1085.4000244140625,1095.097900390625,134.96713256835938,952.3981323242188,960.1307678222656,-7.732635498046875
high,2,1103.5999755859375,1107.8634033203125,134.96713256835938,966.5505981445312,972.8962707519531,-6.345672607421875
high,3,1141.780029296875,1084.6876220703125,134.96713256835938,939.3955078125,949.7204895019531,-10.324981689453125
high,4,1144.1500244140625,1141.9002685546875,134.96713256835938,999.93896484375,1006.9331359863281,-6.994171142578125
high,5,1188.1700439453125,1160.3505859375,134.96713256835938,1015.1190795898438,1025.3834533691406,-10.264373779296875
high,6,1210.8900146484375,1184.4954833984375,134.96713256835938,1042.08056640625,1049.5283508300781,-7.447784423828125
best,0,964.8200073242188,964.8179931640625,134.96713256835938,822.2108154296875,829.8508605957031,-7.640045166015625
best,1,79.87999725341797,79.88246154785156,134.96713256835938,-57.37499237060547,-55.08467102050781,-2.2903213500976562
best,2,9.470000267028809,9.462182998657227,134.96713256835938,-123.01771545410156,-125.50494956970215,2.487234115600586
best,3,37.22999954223633,37.22003936767578,134.96713256835938,-97.02581024169922,-97.7470932006836,0.721282958984375
best,4,463.2900085449219,463.2962646484375,134.96713256835938,327.9091491699219,328.3291320800781,-0.41998291015625
best,5,12.0600004196167,12.050267219543457,134.96713256835938,-123.20382690429688,-122.91686534881592,-0.28696155548095703
best,6,430.29998779296875,430.3007507324219,134.96713256835938,293.87353515625,295.3336181640625,-1.4600830078125
worst,0,680.8800048828125,836.0514526367188,134.96713256835938,696.0396118164062,701.0843200683594,-5.044708251953125
worst,1,825.5999755859375,699.7301025390625,134.96713256835938,554.3031005859375,564.7629699707031,-10.459869384765625
worst,2,213.57000732421875,304.94189453125,134.96713256835938,168.25721740722656,169.97476196289062,-1.7175445556640625
worst,3,362.2300109863281,271.78472900390625,134.96713256835938,136.4526824951172,136.81759643554688,-0.3649139404296875
worst,4,974.5999755859375,1062.1575927734375,134.96713256835938,916.4794921875,927.1904602050781,-10.710968017578125
worst,5,423.4100036621094,338.54278564453125,134.96713256835938,201.23214721679688,203.57565307617188,-2.343505859375
worst,6,667.7000122070312,582.9176025390625,134.96713256835938,440.0833740234375,447.9504699707031,-7.867095947265625
random,0,77.52999877929688,78.88699340820312,134.96713256835938,-57.11289978027344,-56.08013916015625,-1.0327606201171875
random,1,389.1600036621094,390.92608642578125,134.96713256835938,255.94935607910156,255.95895385742188,-0.0095977783203125
random,2,98.58999633789062,97.80730438232422,134.96713256835938,-36.483402252197266,-37.159828186035156,0.6764259338378906
random,3,350.8999938964844,374.81109619140625,134.96713256835938,239.35092163085938,239.84396362304688,-0.4930419921875
random,4,72.58999633789062,75.96076965332031,134.96713256835938,-59.23234176635742,-59.00636291503906,-0.22597885131835938
random,5,590.7000122070312,589.679443359375,134.96713256835938,455.89697265625,454.7123107910156,1.184661865234375
random,6,172.75,182.40847778320312,134.96713256835938,44.545433044433594,47.44134521484375,-2.8959121704101562
